訓練對於機器學習模型來說為什麼很重要？,根據課程內容找不到相關資訊。
"Which type of NLP model is generally faster, cheaper, and more efficient according to the content?",根據課程內容，特定任務的NLP模型更快、更便宜且更有效率。
遲交作業最多可以得到多少分？,根據課程內容找不到相關資訊。
In which NLP applications are stemming and lemmatization still important?,"搜索引擎/文件檢索（Google, Bing）、線上廣告（Google Ads, Meta Ads）、 SOCIAL MEDIA TAGGING（Twitter, Instagram）。"
Word2Vec 不能處理哪些詞彙？,根據課程內容找不到相關資訊。
What is the key step in combining movie data for TF-IDF recommendation system?,Recall: TfidfVectorizer expects one string per “Document”。
N-Gram模型是如何預測單詞的？,N-Gram模型根據前N個單詞來預測單詞。
What is a limitation of Markov Models mentioned in the content?,缺乏長期記憶，只能考慮當前狀態。
Do we have a sufficient amount of data?,根據課程內容找不到相關資訊。
What is the purpose of article spinning?,幫助網站擁有者減少內容創作努力、節省時間和成本，並通過建立連結來提升SEO。
為什麼要用N-gram來解密密碼？,Unigrams和Bigrams Helps identify likely letter frequencies and capture common letter sequences to improve decryption accuracy。
What should the model return if the message is translated correctly?,Model should return high probability.
什麼是細分情感分析？,細分情感分析使用尺度（例如：非常正面、正面、中性、負面、非常負面）。
What is a limitation of ROUGE?,"Favors surface similarity, ignores meaning。"
Lexicon-Based Approach 如何處理否定詞？,"Lexicon-Based Approach 會針對否定詞另行處理，例如 ""不好 → -1*1""。"
What does a high alpha value indicate in LDA?,高 Alpha 值表示文檔中主題分佈較為均勻。
在LDA模型中，如何決定主題分配？,在LDA模型中，通過 coherence score 和 perplexity score 確定主題數量。
What happens if too few topics are set in topic modeling?,Oversimplifies the data，導致主題廣泛且缺乏資訊性。
CNN在處理長距離依賴關係方面有哪些困難？,CNN在處理長距離依賴關係方面的主要困難是他們只捕捉固定大小的n-gram特徵，並且難以處理語言中的長距離依賴關係。
"Can you just assign numbers directly to the data points like 0 = Search, 1 = Ad, 2 = Friend?",不能直接這樣分配數字，因為會失去資料的分類資訊和語義。
傳統NLP為何難以處理諷刺？,根據課程內容找不到相關資訊。
What is the model size of GPT-3?,GPT-3的模型規模擴展至1750億個參數。
什麼是 Prediction-layer Distillation？,讓TinyBERT學習BERT最終輸出的行為，在訓練過程中，要儘量學習模仿BERT的輸出機率分佈，通常會使用KL divergence損失函數。
What task does ALBERT use instead of BERT's Next Sentence Prediction (NSP) task?,ALBERT 使用句子順序預測（SOP）任務取代了BERT的下一句子預測（NSP）任務。
GraphRAG 和 Naive RAG 在處理跨文件實體關聯時的效能差異是什麼？,根據課程內容找不到相關資訊。
What is the Lost in the middle phenomenon?,Lost in the middle（迷失在中間）現象是指大型語言模型 (LLM) 在處理非常長的上下文時，提取關鍵資訊的效能會呈現 U 型曲線。
APPLE 是在哪一年成立的？,根據課程內容找不到相關資訊。
What is the main improvement of Transformer-XL over traditional Transformers in handling long sequences?,Transformer-XL通過分段遞迴機制解決了傳統Transformer模型處理長序列時的侷限性，使得模型在處理第二段文本時可以考慮前一段的隱藏狀態。
XLNet是如何訓練的？,XLNet通過對輸入序列進行不同的排列組合，生成多種可能的排列順序，在訓練時能夠同時考慮詞的上下文訊息。
What is the distance between '我' and '喜歡' in the sentence '我 喜歡 吃 蘋果'?,"""我""與""喜歡""的距離是+1。"
ICL SQL Generator 如何將原始問題轉換為 Skeleton？,"把問題骨架化，例如把原問題 ""What’s the population of China in 2020?"" 轉換成 ""What’s the population of <country> in <year>?""。"
What does Exact Matching (EM) measure in SQL query evaluation?,Exact Matching (EM) 設計用來計算 SQL 組件完全匹配的比例。
為什麼修正器可能無法處理語意錯誤但語法沒錯的情況？,根據課程內容找不到相關資訊。
What is the output when using Flan-T5 for NLI prediction with a given premise and hypothesis?,"直接生成 ""entailment"" / ""neutral"" / ""contradiction""。"
不同語言的主詞、動詞、受詞順序常不同，需要重新組織句子嗎？,需要重新組織句子。
What is the main advantage of SimCSE in a resource-limited environment?,SimCSE的主要優點是在資源有限的環境下效果卓越，僅需要dropout產生embedding擾動。
